<<<<<<< HEAD
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.16-52.220.136.156-57211-80-6,192.168.0.16,57211,52.220.136.156,80,6,20/05/2019 02:26:21 PM,88263,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65955156747448,88263.0,0.0,88263.0,88263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,11.32977578373724,11.32977578373724,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1028,349,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.118.176-44675-443-6,192.168.0.24,44675,223.39.118.176,443,6,20/05/2019 02:26:17 PM,10230917,20,28,949.0,26364.0,661.0,0.0,47.45,151.05993059570412,1460.0,0.0,941.5714285714284,633.5106435173251,2669.6531698966965,4.69166155878305,217679.08510638296,1453111.5446095366,9967226.0,73.0,263570.0,13872.105263157891,27534.7545151673,85677.0,73.0,10217967.0,378443.2222222223,1924431.502285272,10006888.0,81.0,0,0,0,0,420,564,1.9548589828262704,2.736802575956779,0.0,1460.0,557.4081632653061,660.0782440478597,435703.2882653058,1,2,0,10,47,0,0,0,1.0,569.0208333333334,47.45,941.5714285714286,0,0,0,27276,25,133214,20,949,28,26364,14600,32389,3,20,263570.0,0.0,263570.0,263570.0,9967226.0,0.0,9967226.0,9967226.0,0
192.168.0.24-211.188.147.64-42038-443-6,192.168.0.24,42038,211.188.147.64,443,6,20/05/2019 02:26:28 PM,305382,179,91,244465.0,9376.0,1460.0,0.0,1365.7262569832394,353.5962560381908,1460.0,0.0,103.03296703296704,343.2230389362791,831224.4991518819,884.1385543352261,1135.24907063197,7025.28069400244,91867.0,69.0,295204.0,1658.4494382022483,8776.246426211337,91867.0,69.0,299374.0,3326.3777777777764,13304.446431341828,101685.0,70.0,0,0,0,0,3600,1824,586.1511156518721,297.987438683354,0.0,1460.0,936.6826568265682,693.694950324354,481212.6841055079,1,2,0,17,269,0,0,0,0.0,940.1518518518518,1365.7262569832403,103.03296703296704,0,0,0,253841,181,888487,0,0,0,0,14600,65535,171,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-211.188.147.64-42038-443-6,192.168.0.24,42038,211.188.147.64,443,6,20/05/2019 02:26:28 PM,6356,3,0,37.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,0.0,0.0,0.0,0.0,5821.271239773443,471.9949653870359,3178.0,2692.662622758373,5082.0,1274.0,6356.0,3178.0,2692.662622758373,5082.0,1274.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,471.9949653870359,0.0,0.0,37.0,9.25,18.5,342.25,0,0,1,1,3,0,0,0,0.0,12.333333333333334,12.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.191-35057-443-6,192.168.0.24,35057,223.39.123.191,443,6,20/05/2019 02:26:23 PM,5720386,67,47,76431.0,7090.0,1460.0,0.0,1140.761194029851,592.6485771914394,1460.0,0.0,150.85106382978725,405.56369674615706,14600.588142128869,19.92872508953067,50622.88495575222,474285.50545156025,5032961.0,70.0,687304.0,10413.696969696975,47432.11168979212,284951.0,70.0,5677902.0,123432.65217391304,742540.7949889717,5034058.0,71.0,0,0,0,0,1360,944,11.712496324548727,8.216228764981944,0.0,1460.0,726.2695652173916,715.4178918859319,511822.7600305109,1,2,0,10,113,0,0,0,0.0,732.640350877193,1140.761194029851,150.85106382978722,0,0,0,83484,63,130918,67,76431,47,7090,14600,65535,56,20,687304.0,0.0,687304.0,687304.0,5032961.0,0.0,5032961.0,5032961.0,0
172.217.31.136-192.168.0.23-443-50204-6,172.217.31.136,443,192.168.0.23,50204,6,20/05/2019 02:26:30 PM,2461,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.6777732629013,2461.0,0.0,2461.0,2461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,406.3388866314506,406.3388866314506,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,248,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.191-53216-443-6,192.168.0.24,53216,223.39.123.191,443,6,20/05/2019 02:26:32 PM,5964,2,1,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0.0,0.0,0.0,0.0,6203.890006706908,503.0181086519115,2982.0,2887.82409436586,5024.0,940.0,940.0,940.0,0.0,940.0,940.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,335.345405767941,167.6727028839705,0.0,37.0,18.5,21.361959960016154,456.3333333333333,1,0,1,1,2,0,0,0,0.0,24.666666666666668,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,8201,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.168.0.24-223.39.123.191-51165-443-6,192.168.0.24,51165,223.39.123.191,443,6,20/05/2019 02:26:32 PM,7335,2,1,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0.0,0.0,0.0,0.0,5044.308111792774,408.9979550102249,3667.5,4171.222902219444,6617.0,718.0,718.0,718.0,0.0,718.0,718.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,272.66530334014993,136.33265167007497,0.0,37.0,18.5,21.361959960016154,456.3333333333333,1,0,1,1,2,0,0,0,0.0,24.666666666666668,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,8201,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23.23.130.219-192.168.0.23-443-33156-6,23.23.130.219,443,192.168.0.23,33156,6,20/05/2019 02:26:25 PM,8466351,3,2,179.0,31.0,128.0,0.0,59.66666666666666,64.43860126766667,31.0,0.0,15.5,21.920310216782973,24.80407438812778,0.590573199717328,2116587.75,3823265.0628508944,7845911.0,3662.0,616778.0,308389.0,152648.7977089895,416328.0,200450.0,3662.0,3662.0,0.0,3662.0,3662.0,0,0,0,0,104,64,0.3543439198303968,0.2362292798869312,0.0,128.0,35.0,50.19163276881915,2519.2,1,1,0,3,5,0,0,0,0.0,42.0,59.66666666666666,15.5,0,0,0,0,0,0,3,179,2,31,28960,821,2,32,616778.0,0.0,616778.0,616778.0,7845911.0,0.0,7845911.0,7845911.0,0
192.168.0.23-14.129.200.42-53642-443-6,192.168.0.23,53642,14.129.200.42,443,6,20/05/2019 02:26:33 PM,189651,5,17,542.0,9189.0,208.0,0.0,108.4,104.46434798532944,1448.0,0.0,540.5294117647057,627.3969156011865,51310.03791174315,116.00255205614523,9031.0,23913.01261238324,109239.0,73.0,70878.0,17719.5,14372.086220633848,31387.0,1777.0,183180.0,11448.75,27724.438234164456,109239.0,73.0,0,0,0,0,168,552,26.364216376396648,89.6383356797486,0.0,1448.0,423.0869565217393,574.0723673927814,329559.08300395263,1,2,0,8,21,0,0,0,3.0,442.3181818181818,108.4,540.5294117647059,0,0,0,9731,13,180742,0,0,0,0,65535,1026,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
