Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-223.39.118.176-48824-443-6,192.168.0.24,48824,223.39.118.176,443,6,05/06/2019 09:17:46 AM,36139,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,55.341874429286925,36139.0,0.0,36139.0,36139.0,36139.0,36139.0,0.0,36139.0,36139.0,0,0,0,0,0,0,0,0,0,40,0,55.341874429286925,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
111.26.20.238-192.168.0.24-8314-19604-6,111.26.20.238,8314,192.168.0.24,19604,6,05/06/2019 09:17:29 AM,13256,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,150.8750754375377,13256.0,0.0,13256.0,13256.0,13256.0,13256.0,0.0,13256.0,13256.0,0,0,0,0,0,0,0,0,0,40,0,150.8750754375377,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5011,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-224.0.0.251-5353-5353-17,192.168.0.13,5353,224.0.0.251,5353,17,05/06/2019 09:17:47 AM,79885,4,0,140.0,0.0,35.0,35.0,35.0,0.0,0,0,0,0,1752.5192464167242,50.07197846904926,26628.333333333332,45209.46194474486,78831.0,289.0,79885.0,26628.333333333332,45209.46194474486,78831.0,289.0,0,0,0,0,0,0,0,0,0,32,0,50.07197846904926,0.0,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,43.75,35.0,0.0,0,0,0,140,4,1752,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.217.25.238-192.168.0.14-443-64931-17,172.217.25.238,443,192.168.0.14,64931,17,05/06/2019 09:17:22 AM,26947637,7,0,362.0,0.0,189.0,18.0,51.714285714285715,61.285436784808525,0,0,0,0,13.433459861434233,0.2597630359945846,4491272.833333333,6924745.331660636,1.4814858E7,89.0,2.6947637E7,4491272.833333333,6924745.331660636,1.4814858E7,89.0,0,0,0,0,0,0,0,0,0,56,0,0.2597630359945846,0.0,18.0,189.0,50.125,56.91707627266681,3239.5535714285716,0,0,0,0,0,0,0,0,0.0,57.285714285714285,51.714285714285715,0.0,0,0,0,303,5,1227,3,181,0,0,0,0,6,8,246924.0,0.0,246924.0,246924.0,1.33503565E7,2071117.8834157411,1.4814858E7,1.1885855E7,NeedManualLabel
192.168.0.24-223.39.118.176-41902-443-6,192.168.0.24,41902,223.39.118.176,443,6,05/06/2019 09:17:53 AM,277126,12,6,949.0,1245.0,661.0,0.0,79.08333333333334,191.5351656928035,574.0,0.0,207.5,247.35379520031626,7916.976393409496,64.95240432149997,16301.529411764706,43751.68429060424,183301.0,74.0,277126.0,25193.272727272728,54129.972261383824,183301.0,75.0,238764.0,47752.8,83416.08790095588,196131.0,74.0,0,0,0,0,260,124,43.30160288099998,21.65080144049999,0.0,661.0,115.4736842105263,209.43054229692387,43861.15204678362,0,2,0,6,17,0,0,0,0.0,121.88888888888889,79.08333333333333,207.5,0,0,0,2194,6,9400,0,0,0,0,14600,32389,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
226.158.65.87-4.196.141.180-1675-19604-6,226.158.65.87,1675,4.196.141.180,19604,6,05/06/2019 09:17:34 AM,528,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3787.8787878787875,528.0,0.0,528.0,528.0,528.0,528.0,0.0,528.0,528.0,0,0,0,0,0,0,0,0,0,40,0,3787.8787878787875,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1562,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
111.94.196.150-192.168.0.24-7978-19604-6,111.94.196.150,7978,192.168.0.24,19604,6,05/06/2019 09:17:28 AM,386,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5181.347150259067,386.0,0.0,386.0,386.0,386.0,386.0,0.0,386.0,386.0,0,0,0,0,0,0,0,0,0,40,0,5181.347150259067,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5193,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
111.141.55.255-192.168.0.24-3931-19604-6,111.141.55.255,3931,192.168.0.24,19604,6,05/06/2019 09:17:28 AM,391,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5115.089514066496,391.0,0.0,391.0,391.0,391.0,391.0,0.0,391.0,391.0,0,0,0,0,0,0,0,0,0,40,0,5115.089514066496,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3572,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.118.176-48947-443-6,192.168.0.24,48947,223.39.118.176,443,6,05/06/2019 09:17:41 AM,59337,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33.70578222694103,59337.0,0.0,59337.0,59337.0,59337.0,59337.0,0.0,59337.0,59337.0,0,0,0,0,0,0,0,0,0,40,0,33.70578222694103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.118.176-49801-443-6,192.168.0.24,49801,223.39.118.176,443,6,05/06/2019 09:17:52 AM,32087,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,62.33053884750834,32087.0,0.0,32087.0,32087.0,32087.0,32087.0,0.0,32087.0,32087.0,0,0,0,0,0,0,0,0,0,40,0,62.33053884750834,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
