Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
104.74.152.109-192.168.0.14-443-51452-6,104.74.152.109,443,192.168.0.14,51452,6,25/07/2019 12:49:52 PM,5415,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,4432.13296398892,554.016620498615,2707.5,3659.2775926403833,5295.0,120.0,5415.0,2707.5,3659.2775926403833,5295.0,120.0,0,0,0,0,0,1,0,0,0,84,0,554.016620498615,0.0,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,0.0,16.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,248,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-211.188.147.64-40541-443-6,192.168.0.24,40541,211.188.147.64,443,6,25/07/2019 12:49:52 PM,228224,99,55,129023.0,7067.0,1460.0,0.0,1303.2626262626259,446.4349390599267,1460.0,0.0,128.49090909090904,380.251810949849,596300.1261918115,674.7756590016826,1491.6601307189544,9409.10825880084,103317.0,70.0,219198.0,2236.7142857142862,11818.398582360744,104284.0,70.0,224491.0,4157.240740740741,16134.27326676385,104066.0,70.0,0,0,0,0,2000,1104,433.78435221536733,240.9913067863152,0.0,1460.0,878.0,706.7008772246784,499426.12987013,1,2,0,11,153,0,0,0,0.0,883.7012987012987,1303.2626262626263,128.4909090909091,0,0,0,136090,99,617473,0,0,0,0,14600,65535,91,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-211.188.147.64-40541-443-6,192.168.0.24,40541,211.188.147.64,443,6,25/07/2019 12:49:53 PM,11469,3,0,37.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,0,0,0,0,3226.087714709216,261.5746795710175,5734.5,4185.365037843175,8694.0,2775.0,11469.0,5734.5,4185.365037843175,8694.0,2775.0,0,0,0,0,0,0,0,0,0,60,0,261.5746795710175,0.0,0.0,37.0,9.25,18.5,342.25,0,0,1,1,3,0,0,0,0.0,12.333333333333334,12.333333333333334,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
104.74.152.109-192.168.0.14-443-51448-6,104.74.152.109,443,192.168.0.14,51448,6,25/07/2019 12:49:55 PM,88,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,272727.2727272727,22727.272727272728,88.0,0.0,88.0,88.0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,1,0,0,0,64,0,22727.272727272728,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,1,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,243,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-8.8.8.8-58740-53-6,192.168.0.24,58740,8.8.8.8,53,6,25/07/2019 12:50:00 PM,85140,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.72680291284943,21285.0,19182.016803940787,37916.0,1146.0,47687.0,23843.5,21522.20909897495,39062.0,8625.0,47224.0,47224.0,0.0,47224.0,47224.0,0,0,0,0,104,72,35.236081747709655,23.49072116513977,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14600,236,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.123.191-43278-443-6,192.168.0.24,43278,223.39.123.191,443,6,25/07/2019 12:50:00 PM,5927803,56,47,61850.0,9321.0,1460.0,0.0,1104.464285714286,604.9035674998338,1460.0,0.0,198.31914893617014,452.4008469979662,12006.303178428838,17.375746123816867,58115.71568627452,495761.2687397265,5001569.0,70.0,926114.0,16838.43636363636,51908.581301119666,277412.0,70.0,5919801.0,128691.32608695653,737165.2507937584,5004770.0,73.0,0,0,0,0,1140,944,9.447007601298491,7.928738522518376,0.0,1460.0,684.3365384615387,703.6268816318005,495090.7885548918,1,2,0,12,102,0,0,0,0.0,690.9805825242719,1104.4642857142858,198.31914893617022,0,0,0,71134,56,78236,56,61850,47,9321,14600,65535,46,20,926114.0,0.0,926114.0,926114.0,5001569.0,0.0,5001569.0,5001569.0,NeedManualLabel
104.74.152.109-192.168.0.14-443-51456-6,104.74.152.109,443,192.168.0.14,51456,6,25/07/2019 12:50:07 PM,5713,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,4200.945212672851,525.1181515841064,2856.5,3913.8360338675407,5624.0,89.0,5713.0,2856.5,3913.8360338675407,5624.0,89.0,0,0,0,0,0,1,0,0,0,84,0,525.1181515841064,0.0,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,0.0,16.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,248,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
104.74.152.109-192.168.0.14-443-51457-6,104.74.152.109,443,192.168.0.14,51457,6,25/07/2019 12:50:07 PM,5949,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,4034.2914775592535,504.2864346949067,2974.5,4093.4411562889236,5869.0,80.0,5949.0,2974.5,4093.4411562889236,5869.0,80.0,0,0,0,0,0,1,0,0,0,84,0,504.2864346949067,0.0,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,0.0,16.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
104.74.152.109-192.168.0.14-443-51451-6,104.74.152.109,443,192.168.0.14,51451,6,25/07/2019 12:50:12 PM,87,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,275862.0689655172,22988.505747126437,87.0,0.0,87.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,1,0,0,0,64,0,22988.505747126437,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,1,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,243,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.49.157.76-192.168.0.14-443-51453-6,23.49.157.76,443,192.168.0.14,51453,6,25/07/2019 12:50:12 PM,88,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,261363.63636363638,22727.272727272728,88.0,0.0,88.0,88.0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,1,0,0,0,64,0,22727.272727272728,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,0,1,1,2,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,243,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
