Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-223.39.123.245-48666-7000-6,192.168.0.24,48666,223.39.123.245,7000,6,10/09/2019 11:08:16 AM,357566,30,39,633.0,32270.0,189.0,0.0,21.099999999999998,39.72521999244656,1460.0,0.0,827.4358974358976,688.8837574722181,92019.37544397399,192.97136752375786,5258.323529411763,8437.158714718396,45103.0,73.0,351435.0,12118.448275862069,15865.726489570903,84614.0,122.0,351318.0,9245.210526315788,17420.195502918046,71251.0,73.0,0,0,0,0,620,784,83.90059457554689,109.07077294821096,0.0,1460.0,470.0428571428571,651.9532399813297,425043.02712215326,2,2,0,41,68,0,0,0,1.0,476.8550724637681,21.1,827.4358974358975,0,0,0,32903,45,94840,0,0,0,0,14600,30016,11,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.123.245-48666-7000-6,192.168.0.24,48666,223.39.123.245,7000,6,10/09/2019 11:08:16 AM,560,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3571.4285714285716,560.0,0.0,560.0,560.0,560.0,560.0,0.0,560.0,560.0,0,0,0,0,0,0,0,0,0,40,0,3571.4285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-211.188.147.64-42483-443-6,192.168.0.24,42483,211.188.147.64,443,6,10/09/2019 11:08:16 AM,281686,13,12,2323.0,7067.0,597.0,0.0,178.69230769230768,263.0723552609892,1460.0,0.0,588.9166666666667,643.4360119818843,33334.990024353356,88.75130464417828,11736.916666666668,41407.48612101825,204289.0,72.0,275277.0,22939.75,57850.57305778082,204289.0,72.0,254668.0,23151.63636363636,65087.50041486111,218433.0,72.0,0,0,0,0,280,248,46.1506784149727,42.600626229205574,0.0,1460.0,361.1538461538462,512.6533091521164,262813.4153846154,1,3,0,10,24,0,0,0,0.0,375.6,178.69230769230768,588.9166666666666,0,0,0,9390,13,38584,0,0,0,0,14600,32238,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-211.188.147.64-42483-443-6,192.168.0.24,42483,211.188.147.64,443,6,10/09/2019 11:08:17 AM,4269,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,8667.135160459124,468.4937924572499,4269.0,0.0,4269.0,4269.0,4269.0,4269.0,0.0,4269.0,4269.0,0,0,0,0,0,1,0,0,0,40,0,468.4937924572499,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-211.188.147.64-54295-443-6,192.168.0.24,54295,211.188.147.64,443,6,10/09/2019 11:08:17 AM,138193,6,8,1070.0,507.0,613.0,0.0,178.33333333333334,263.3770427859396,325.0,0.0,63.375,117.03959952572829,11411.576563212318,101.30759155673586,10630.23076923077,14718.180079716865,51535.0,70.0,123916.0,24783.2,24888.35358556287,65383.0,636.0,129810.0,18544.285714285717,25119.914680815073,62043.0,70.0,0,0,0,0,140,164,43.41753923860109,57.89005231813478,0.0,613.0,105.13333333333333,188.9591288637635,35705.55238095238,1,2,0,6,13,0,0,0,1.0,112.64285714285714,178.33333333333334,63.375,0,0,0,1577,6,15510,0,0,0,0,14600,31263,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-211.188.147.64-54295-443-6,192.168.0.24,54295,211.188.147.64,443,6,10/09/2019 11:08:17 AM,1247,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,29671.21090617482,1603.849238171612,1247.0,0.0,1247.0,1247.0,1247.0,1247.0,0.0,1247.0,1247.0,0,0,0,0,0,1,0,0,0,40,0,1603.849238171612,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,16616,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.16-192.168.0.13-56199-9010-6,192.168.0.16,56199,192.168.0.13,9010,6,10/09/2019 11:08:19 AM,36435,6,6,672.0,206.0,336.0,0.0,112.0,173.50965391009228,206.0,0.0,34.333333333333336,84.09914783555578,24097.708247564155,329.3536434746809,3312.2727272727275,7358.192551040086,25305.0,271.0,8544.0,1708.8,1791.0886912713172,3841.0,366.0,31779.0,6355.8,10748.560168692364,25305.0,271.0,0,0,0,0,216,208,164.67682173734045,164.67682173734045,0.0,336.0,67.53846153846153,131.94987393237338,17410.76923076923,1,4,0,3,10,0,2,4,1.0,73.16666666666667,112.0,34.333333333333336,0,0,0,0,0,0,0,0,0,0,65535,1869,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-192.168.0.16-9010-56199-6,192.168.0.13,9010,192.168.0.16,56199,6,10/09/2019 11:08:19 AM,1745,2,2,206.0,0.0,206.0,0.0,103.0,145.6639969244288,0.0,0.0,0.0,0.0,118051.57593123209,2292.2636103151863,581.6666666666666,588.0342960519679,1226.0,74.0,1226.0,1226.0,0.0,1226.0,1226.0,74.0,74.0,0.0,74.0,74.0,1,0,0,0,64,52,1146.1318051575931,1146.1318051575931,0.0,206.0,82.39999999999999,112.83084684606422,12730.8,1,0,1,1,4,0,0,0,1.0,103.0,103.0,0.0,0,0,0,0,0,0,0,0,0,0,1869,32768,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.16-192.168.0.13-56199-9010-6,192.168.0.16,56199,192.168.0.13,9010,6,10/09/2019 11:08:19 AM,439,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6833.7129840546695,219.5,208.59650045003153,367.0,72.0,439.0,219.5,208.59650045003153,367.0,72.0,0,0,0,0,0,0,0,0,0,72,0,6833.7129840546695,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
13.125.193.95-192.168.0.23-443-58836-6,13.125.193.95,443,192.168.0.23,58836,6,10/09/2019 11:08:19 AM,3753,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,8260.05861977085,532.9070077271516,3753.0,0.0,3753.0,3753.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,266.4535038635758,266.4535038635758,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,1,1,1,0,0,0,1.0,31.0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,132,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
