Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
203.119.129.77-192.168.0.16-80-56367-6,203.119.129.77,80,192.168.0.16,56367,6,25/07/2019 12:52:36 PM,1790,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.31843575419,1790.0,0.0,1790.0,1790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,558.659217877095,558.659217877095,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
203.119.128.27-192.168.0.16-80-56364-6,203.119.128.27,80,192.168.0.16,56364,6,25/07/2019 12:52:36 PM,11212,4,3,405.0,0.0,405.0,0.0,101.25,202.5,0.0,0.0,0.0,0.0,36122.012129860865,624.3310738494471,1868.6666666666665,3566.7732009011543,9070.0,76.0,9270.0,3090.0,5178.870533234056,9070.0,80.0,495.0,247.5,242.5376259469858,419.0,76.0,0,0,0,0,80,60,356.76061362825544,267.5704602211916,0.0,405.0,50.625,143.18912319027586,20503.125,2,0,0,1,7,0,0,0,0.0,57.857142857142854,101.25,0.0,0,0,0,0,0,0,0,0,0,0,60,2048,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
31.13.76.16-192.168.0.16-443-56358-6,31.13.76.16,443,192.168.0.16,56358,6,25/07/2019 12:52:36 PM,114409,1,4,430.0,24.0,430.0,430.0,430.0,0.0,24.0,0.0,6.0,12.0,3968.2192834479806,43.70285554458128,28602.25,54346.845307861855,110098.0,79.0,0,0,0,0,0,111161.0,37053.66666666667,63259.86666389152,110098.0,79.0,1,0,0,0,32,128,8.740571108916257,34.962284435665026,0.0,430.0,147.33333333333331,219.14987261384996,48026.666666666664,1,0,0,2,5,0,0,0,4.0,176.8,430.0,6.0,0,0,0,0,0,0,0,0,0,0,127,1024,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
31.13.76.16-192.168.0.16-443-56358-6,31.13.76.16,443,192.168.0.16,56358,6,25/07/2019 12:52:36 PM,304502,4,2,24.0,24.0,24.0,0.0,6.0,12.0,24.0,0.0,12.0,16.97056274847714,157.6344326145641,19.704304076820513,60900.4,81128.05372865788,160153.0,75.0,165973.0,55324.333333333336,95687.72429801711,165815.0,75.0,144191.0,144191.0,0.0,144191.0,144191.0,0,0,0,0,128,52,13.136202717880343,6.568101358940171,0.0,24.0,6.857142857142858,11.710800875382398,137.14285714285714,2,0,0,2,6,0,0,0,0.0,8.0,6.0,12.0,0,0,0,0,0,0,0,0,0,0,127,1024,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
31.13.76.16-192.168.0.16-443-56358-6,31.13.76.16,443,192.168.0.16,56358,6,25/07/2019 12:52:36 PM,576,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.222222222222,576.0,0.0,576.0,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1736.111111111111,1736.111111111111,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,127,1024,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.16-31.13.76.16-56358-443-6,192.168.0.16,56358,31.13.76.16,443,6,25/07/2019 12:52:36 PM,1672,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1196.1722488038276,1672.0,0.0,1672.0,1672.0,1672.0,1672.0,0.0,1672.0,1672.0,0,0,0,0,0,0,0,0,0,40,0,1196.1722488038276,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
31.13.76.16-192.168.0.16-443-56358-6,31.13.76.16,443,192.168.0.16,56358,6,25/07/2019 12:52:36 PM,480,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.666666666667,480.0,0.0,480.0,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,2083.3333333333335,2083.3333333333335,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,127,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
150.109.162.74-192.168.0.16-80-56369-6,150.109.162.74,80,192.168.0.16,56369,6,25/07/2019 12:52:36 PM,3009447,76,55,104563.0,261.0,1440.0,0.0,1375.8289473684208,260.42444269092186,261.0,0.0,4.745454545454543,35.193232820581244,34831.64847229408,43.529591981516866,23149.592307692306,89323.01720297713,810158.0,70.0,2412660.0,32168.8,128121.82986042537,858727.0,70.0,2785286.0,51579.37037037038,171399.73365815554,1100976.0,71.0,0,0,0,0,1532,1112,25.253809088513602,18.275782893003264,0.0,1440.0,794.1212121212124,708.5762957331098,502080.3668748555,1,1,0,10,131,0,0,1,0.0,800.1832061068702,1375.828947368421,4.745454545454545,0,0,0,104824,75,47914,0,0,0,0,14600,2048,74,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.16-3.1.172.83-52051-6500-6,192.168.0.16,52051,3.1.172.83,6500,6,25/07/2019 12:52:38 PM,837095,12,9,887.0,5662.0,362.0,0.0,73.91666666666666,136.29944196066202,1448.0,0.0,629.1111111111111,677.8807867989113,7823.4847896594765,25.086758372705606,41854.74999999999,73186.76601312922,283696.0,72.0,837095.0,76099.54545454544,120835.57148486006,390161.0,72.0,735130.0,91891.25,142346.93073087317,408490.0,75.0,0,0,0,0,384,296,14.335290498688918,10.751467874016688,0.0,1448.0,297.6818181818182,514.4856318382131,264695.4653679653,0,2,1,7,20,0,1,2,0.0,311.85714285714283,73.91666666666667,629.1111111111111,0,0,0,6549,10,9388,0,0,0,0,65535,127,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.16-3.1.172.83-52050-6500-6,192.168.0.16,52050,3.1.172.83,6500,6,25/07/2019 12:52:37 PM,1444094,13,9,887.0,5662.0,362.0,0.0,68.23076923076923,132.09728349853492,1448.0,0.0,629.1111111111111,677.8807867989113,4535.023343355765,15.234465346438666,68766.38095238096,218395.40941157078,1003163.0,72.0,1444094.0,120341.16666666669,283188.83461934124,1003163.0,74.0,331528.0,41441.00000000001,58640.38891899873,139693.0,72.0,0,0,0,0,428,296,9.002184068350122,6.2322812780885455,0.0,1448.0,284.7391304347826,506.47473394680037,256516.6561264822,0,3,1,7,20,0,1,2,0.0,297.6818181818182,68.23076923076923,629.1111111111111,0,0,0,6549,10,19757,13,887,9,5662,65535,118,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
