Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.24-182.162.108.112-58468-443-6,192.168.0.24,58468,182.162.108.112,443,6,03/06/2019 01:27:54 PM,3502,2,1,522.0,0.0,469.0,53.0,261.0,294.15642097360376,0.0,0.0,0.0,0.0,149057.68132495717,856.6533409480297,1751.0,1890.8035328928281,3088.0,414.0,3088.0,3088.0,0.0,3088.0,3088.0,0,0,0,0,0,1,0,0,0,64,20,571.1022272986864,285.5511136493432,0.0,469.0,247.75000000000003,256.3921150633667,65736.91666666667,1,0,1,2,2,0,0,0,0.0,330.3333333333333,261.0,0.0,0,0,0,0,0,0,0,0,0,0,7831,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.118.176-55731-443-6,192.168.0.24,55731,223.39.118.176,443,6,03/06/2019 01:27:57 PM,3835,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,9647.979139504563,521.5123859191656,3835.0,0.0,3835.0,3835.0,3835.0,3835.0,0.0,3835.0,3835.0,0,0,0,0,0,1,0,0,0,40,0,521.5123859191656,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.118.176-37751-443-6,192.168.0.24,37751,223.39.118.176,443,6,03/06/2019 01:27:57 PM,1540,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,24025.97402597403,1298.7012987012988,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,0.0,1540.0,1540.0,0,0,0,0,0,1,0,0,0,40,0,1298.7012987012988,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.118.176-42899-443-6,192.168.0.24,42899,223.39.118.176,443,6,03/06/2019 01:27:57 PM,1794,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,20624.303232998886,1114.8272017837235,1794.0,0.0,1794.0,1794.0,1794.0,1794.0,0.0,1794.0,1794.0,0,0,0,0,0,1,0,0,0,40,0,1114.8272017837235,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.123.191-45182-443-6,192.168.0.24,45182,223.39.123.191,443,6,03/06/2019 01:28:01 PM,2318,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,15962.036238136323,862.8127696289904,2318.0,0.0,2318.0,2318.0,2318.0,2318.0,0.0,2318.0,2318.0,0,0,0,0,0,1,0,0,0,40,0,862.8127696289904,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.123.191-34534-443-6,192.168.0.24,34534,223.39.123.191,443,6,03/06/2019 01:28:02 PM,894,2,0,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0,0,0,0,41387.02460850112,2237.1364653243845,894.0,0.0,894.0,894.0,894.0,894.0,0.0,894.0,894.0,0,0,0,0,0,1,0,0,0,40,0,2237.1364653243845,0.0,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,1,1,2,0,0,0,0.0,37.0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,35040,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.123.245-50305-7000-6,192.168.0.24,50305,223.39.123.245,7000,6,03/06/2019 01:28:06 PM,618227,52,75,1001.0,70712.0,253.0,0.0,19.249999999999996,39.52952483060393,1460.0,0.0,942.8266666666668,659.6629027201886,115997.84545158979,205.42616223490725,4906.563492063493,9924.175299939865,85536.0,70.0,612415.0,12008.13725490196,15760.441201970976,85536.0,75.0,611799.0,8267.554054054055,16969.6526236771,96948.0,70.0,0,0,0,0,1060,1504,84.1114994977573,121.31466273714996,0.0,1460.0,560.2578124999998,680.3879885029675,462927.81489911414,2,2,0,85,126,0,0,0,1.0,564.6692913385826,19.25,942.8266666666667,0,0,0,71713,89,118501,0,0,0,0,14600,30016,19,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-223.39.123.245-50305-7000-6,192.168.0.24,50305,223.39.123.245,7000,6,03/06/2019 01:28:07 PM,412,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4854.368932038835,412.0,0.0,412.0,412.0,412.0,412.0,0.0,412.0,412.0,0,0,0,0,0,0,0,0,0,40,0,4854.368932038835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-14.129.200.42-55463-443-6,192.168.0.24,55463,14.129.200.42,443,6,03/06/2019 01:28:07 PM,3193,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,16598.80989664892,626.3701847792045,3193.0,0.0,3193.0,3193.0,3193.0,3193.0,0.0,3193.0,3193.0,0,0,0,0,0,1,0,0,0,64,0,626.3701847792045,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,0,1,1,2,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,0,0,0,0,262,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.24-14.129.200.24-57049-443-6,192.168.0.24,57049,14.129.200.24,443,6,03/06/2019 01:28:07 PM,74,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,716216.2162162162,27027.027027027027,74.0,0.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,0,0,0,0,0,1,0,0,0,64,0,27027.027027027027,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,0,1,1,2,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,0,0,0,0,279,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
