Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.15-192.168.0.24-33414-49-6,192.168.0.15,33414,192.168.0.24,49,6,11/07/2019 11:17:51 AM,1414,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1414.4271570014146,1414.0,0.0,1414.0,1414.0,1414.0,1414.0,0.0,1414.0,1414.0,0,0,0,0,0,0,0,0,0,48,0,1414.4271570014146,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.15-192.168.0.24-33414-646-6,192.168.0.15,33414,192.168.0.24,646,6,11/07/2019 11:17:51 AM,1559,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1282.8736369467606,1559.0,0.0,1559.0,1559.0,1559.0,1559.0,0.0,1559.0,1559.0,0,0,0,0,0,0,0,0,0,48,0,1282.8736369467606,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
173.194.78.188-192.168.0.23-5228-53050-6,173.194.78.188,5228,192.168.0.23,53050,6,11/07/2019 11:17:23 AM,37557376,4,2,1990.0,0.0,664.0,0.0,497.5,331.66800669746044,0.0,0.0,0.0,0.0,52.98559728986392,0.15975556971818267,7511475.2,1.1551392389642458E7,2.6386704E7,1699.0,3.7555677E7,1.2518559E7,1.314942759701254E7,2.6386704E7,230669.0,3.7552442E7,3.7552442E7,0.0,3.7552442E7,3.7552442E7,1,0,0,0,128,64,0.1065037131454551,0.05325185657272755,0.0,664.0,379.1428571428571,354.65637292616475,125781.14285714286,0,0,0,3,6,0,0,0,0.0,442.3333333333333,497.5,0.0,0,0,0,0,0,0,2,995,1,0,253,1217,2,32,117801.5,159618.74925114532,230669.0,4934.0,1.8660037E7,1.0927157263340635E7,2.6386704E7,1.093337E7,NeedManualLabel
192.168.0.23-52.19.177.99-50290-443-6,192.168.0.23,50290,52.19.177.99,443,6,11/07/2019 11:17:55 AM,1221409,4,8,126.0,3576.0,126.0,0.0,31.5,63.0,1448.0,0.0,447.0,633.620210716618,3030.9257586934436,9.824718828828019,111037.18181818181,141045.45273408722,291581.0,76.0,1221409.0,407136.3333333333,339085.46686688496,624326.0,16406.0,890876.0,127268.0,157465.5251179339,305172.0,76.0,0,0,0,0,136,264,3.2749062762760057,6.5498125525520114,0.0,1448.0,284.76923076923083,529.9728222349636,280871.1923076923,0,2,0,4,11,0,0,0,2.0,308.5,31.5,447.0,0,0,0,3702,6,6185,0,0,0,0,65535,134,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-13.228.233.32-56361-6000-17,192.168.0.13,56361,13.228.233.32,6000,17,11/07/2019 11:17:44 AM,87832,1,1,60.0,44.0,60.0,60.0,60.0,0.0,44.0,44.0,44.0,0.0,1184.0786956917752,22.770744147918755,87832.0,0.0,87832.0,87832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11.385372073959378,11.385372073959378,44.0,60.0,54.666666666666664,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,82.0,60.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
223.39.123.191-192.168.0.24-443-49849-6,223.39.123.191,443,192.168.0.24,49849,6,11/07/2019 11:18:04 AM,44101,2,1,37.0,0.0,37.0,0.0,18.5,26.16295090390226,0.0,0.0,0.0,0.0,838.9832430103626,68.02566835219156,22050.5,31078.05013992995,44026.0,75.0,75.0,75.0,0.0,75.0,75.0,0,0,0,0,0,1,0,0,0,40,20,45.350445568127704,22.675222784063852,0.0,37.0,18.5,21.361959960016154,456.3333333333333,1,0,0,1,3,0,0,0,0.0,24.666666666666668,18.5,0.0,0,0,0,0,0,0,0,0,0,0,17913,35040,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
223.39.123.194-192.168.0.24-8281-44658-6,223.39.123.194,8281,192.168.0.24,44658,6,11/07/2019 11:17:32 AM,32201127,10,13,3412.0,101.0,522.0,74.0,341.2,139.49496207549737,101.0,0.0,7.769230769230768,28.012359909374073,109.09556053736877,0.7142607151606837,1463687.5909090908,5674674.585969672,2.6552622E7,69.0,3.2195864E7,3577318.222222222,8754566.598353824,2.655781E7,69.0,3.2195967E7,2682997.25,7611505.564055931,2.6557947E7,119.0,1,0,0,0,200,260,0.31054813702638423,0.40371257813429945,0.0,522.0,158.79166666666666,190.32625973555918,36224.085144927536,0,0,0,11,23,0,0,0,1.0,165.69565217391303,341.2,7.769230769230769,0,0,0,1495,5,3401,5,1706,6,50,16616,64240,9,20,481120.0,0.0,481120.0,481120.0,2.6552622E7,0.0,2.6552622E7,2.6552622E7,NeedManualLabel
192.168.0.23-163.152.1.1-5749-53-17,192.168.0.23,5749,163.152.1.1,53,17,11/07/2019 11:17:52 AM,1243,1,1,35.0,151.0,35.0,35.0,35.0,0.0,151.0,151.0,151.0,0.0,149637.97264682222,1609.0104585679808,1243.0,0.0,1243.0,1243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,804.5052292839904,804.5052292839904,35.0,151.0,73.66666666666666,66.97263122599658,4485.333333333333,0,0,0,0,0,0,0,0,1.0,110.5,35.0,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.15-192.168.0.24-33414-1688-6,192.168.0.15,33414,192.168.0.24,1688,6,11/07/2019 11:17:51 AM,8592,1,1,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,465.5493482309124,232.7746741154562,8592.0,0.0,8592.0,8592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,116.3873370577281,116.3873370577281,0.0,4.0,1.3333333333333333,2.309401076758503,5.333333333333333,0,1,0,1,0,0,0,0,1.0,2.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,1024,2304,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.23-52.69.98.82-56318-443-6,192.168.0.23,56318,52.69.98.82,443,6,11/07/2019 11:17:55 AM,208071,6,8,312.0,5382.0,186.0,0.0,52.0,82.76231026258269,1448.0,0.0,672.75,638.3869739988658,27365.658837608316,67.28472492562635,16005.461538461539,19841.99051933124,48728.0,75.0,208071.0,41614.2,51598.284377486816,128713.0,1881.0,124419.0,17774.14285714286,21620.75926379222,44098.0,75.0,0,0,0,0,200,264,28.83631068241129,38.448414243215055,0.0,1448.0,379.6,558.2201050788889,311609.68571428576,0,2,0,6,13,0,0,0,1.0,406.7142857142857,52.0,672.75,0,0,0,5694,8,47109,0,0,0,0,65535,114,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-52.221.48.93-48992-8820-6,192.168.0.13,48992,52.221.48.93,8820,6,11/07/2019 11:17:39 AM,97091,2,1,175.0,1289.0,175.0,0.0,87.5,123.74368670764582,1289.0,1289.0,1289.0,0.0,15078.637566818757,30.89884747298926,48545.5,66799.67051191196,95780.0,1311.0,97091.0,97091.0,0.0,97091.0,97091.0,0,0,0,0,0,1,0,0,0,40,20,20.599231648659504,10.299615824329752,0.0,1289.0,409.74999999999994,591.9433390677411,350396.9166666667,0,0,0,2,3,0,0,0,0.0,546.3333333333334,87.5,1289.0,0,0,0,0,0,0,0,0,0,0,5287,211,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.23-203.133.176.212-38146-80-6,192.168.0.23,38146,203.133.176.212,80,6,11/07/2019 11:17:52 AM,2324294,3,2,110.0,118.0,55.0,0.0,36.666666666666664,31.754264805429415,59.0,59.0,59.0,0.0,98.09430304427924,2.151190856234194,581073.5,1145520.3759248457,2299337.0,1626.0,2310284.0,1155142.0,1618136.0869994834,2299337.0,10947.0,2314973.0,2314973.0,0.0,2314973.0,2314973.0,1,0,0,0,96,64,1.2907145137405165,0.8604763424936777,0.0,59.0,47.166666666666664,23.189796606841266,537.7666666666667,0,0,0,4,5,0,0,0,0.0,56.6,36.666666666666664,59.0,0,0,0,0,0,0,3,110,2,118,888,67,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.23-163.152.1.1-12963-53-17,192.168.0.23,12963,163.152.1.1,53,17,11/07/2019 11:17:55 AM,1302,1,1,33.0,510.0,33.0,33.0,33.0,0.0,510.0,510.0,510.0,0.0,417050.6912442396,1536.0983102918588,1302.0,0.0,1302.0,1302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,768.0491551459294,768.0491551459294,33.0,510.0,192.0,275.3960784034515,75843.0,0,0,0,0,0,0,0,0,1.0,288.0,33.0,510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
