Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.16-192.168.0.13-52712-9010-6,192.168.0.16,52712,192.168.0.13,9010,6,11/07/2019 10:44:55 AM,42510,6,7,672.0,412.0,336.0,0.0,112.0,173.50965391009228,206.0,0.0,58.85714285714286,100.51770751369892,25499.882380616327,305.81039755351685,3542.5,8154.470480551256,29223.0,79.0,7244.0,1448.8,2586.055819196484,6062.0,79.0,38704.0,6450.666666666667,11259.860277404274,29223.0,484.0,0,0,0,0,216,240,141.14326040931545,164.66713714420138,0.0,336.0,77.42857142857142,132.06392058726382,17440.879120879123,1,4,0,4,11,0,0,0,1.0,83.38461538461539,112.0,58.857142857142854,0,0,0,1084,4,31391,0,0,0,0,65535,1869,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-192.168.0.16-9010-52712-6,192.168.0.13,9010,192.168.0.16,52712,6,11/07/2019 10:44:55 AM,2138,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.180542563143,1069.0,1401.4856403117371,2060.0,78.0,0,0,0,0,0,78.0,78.0,0.0,78.0,78.0,0,0,0,0,32,52,467.72684752104766,935.4536950420953,0.0,0.0,0.0,0.0,0.0,1,0,1,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1869,32768,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.16-192.168.0.13-52712-9010-6,192.168.0.16,52712,192.168.0.13,9010,6,11/07/2019 10:44:55 AM,510,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5882.35294117647,255.0,241.83051916579925,426.0,84.0,510.0,255.0,241.83051916579925,426.0,84.0,0,0,0,0,0,0,0,0,0,72,0,5882.35294117647,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-52.219.40.244-58550-443-6,192.168.0.13,58550,52.219.40.244,443,6,11/07/2019 10:44:55 AM,186934,3,8,384.0,3071.0,384.0,0.0,128.0,221.70250336881628,1400.0,0.0,383.875,628.5603590746078,18482.459049718083,58.84429798752501,18693.4,37287.334695726255,89494.0,71.0,94579.0,47289.5,60900.985743253776,90353.0,4226.0,97440.0,13920.0,35490.73187937005,94396.0,71.0,0,0,0,0,80,192,16.04844490568864,42.79585308183637,0.0,1400.0,287.9166666666667,530.6257812215401,281563.7196969697,1,2,1,3,9,0,0,1,2.0,314.09090909090907,128.0,383.875,0,0,0,3455,6,37409,0,0,0,0,14000,9014,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.13-52.219.40.244-58550-443-6,192.168.0.13,58550,52.219.40.244,443,6,11/07/2019 10:44:55 AM,1181256,35,24,30875.0,3841.0,1400.0,0.0,882.1428571428572,670.5503947748992,1400.0,0.0,160.04166666666663,400.38497552129553,29389.057071456144,49.94683624887408,20366.48275862069,76702.38384690492,568235.0,71.0,1181256.0,34742.82352941177,100779.16213982075,568235.0,71.0,1173852.0,51037.043478260865,137024.44555210453,659697.0,73.0,0,0,0,0,724,480,29.62947913068801,20.317357118186067,0.0,1400.0,578.5999999999999,673.2035277911936,453202.9898305083,1,0,1,13,58,0,0,0,0.0,588.4067796610169,882.1428571428571,160.04166666666666,0,0,0,34716,37,29574,0,0,0,0,1750,370,26,20,0,0,0,0,0,0,0,0,NeedManualLabel
52.219.40.244-192.168.0.13-443-58550-6,52.219.40.244,443,192.168.0.13,58550,6,11/07/2019 10:44:56 AM,10082,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.37333862328902,10082.0,0.0,10082.0,10082.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,99.18666931164451,99.18666931164451,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,370,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
52.219.40.244-192.168.0.13-443-58550-6,52.219.40.244,443,192.168.0.13,58550,6,11/07/2019 10:44:57 AM,979,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.9009193054135,979.0,0.0,979.0,979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1021.4504596527067,1021.4504596527067,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,370,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
52.79.47.73-192.168.0.23-443-37044-6,52.79.47.73,443,192.168.0.23,37044,6,11/07/2019 10:44:59 AM,5789,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,5354.983589566419,518.2242183451374,2894.5,3953.434013613987,5690.0,99.0,99.0,99.0,0.0,99.0,99.0,0,0,0,0,0,1,0,0,0,64,32,345.48281223009155,172.74140611504578,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,2,0,0,1,3,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,0,0,0,422,1205,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
52.79.47.73-192.168.0.23-443-37042-6,52.79.47.73,443,192.168.0.23,37042,6,11/07/2019 10:44:59 AM,6694,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,4631.012847325964,448.16253361219,3347.0,4625.892562522394,6618.0,76.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,0,1,0,0,0,64,32,298.7750224081267,149.38751120406334,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,2,0,0,1,3,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,0,0,0,287,1273,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
52.79.47.73-192.168.0.23-443-37040-6,52.79.47.73,443,192.168.0.23,37040,6,11/07/2019 10:44:59 AM,71109,2,3,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,435.95044227875513,70.31458746431534,17777.25,18866.97233041557,40116.0,120.0,120.0,120.0,0.0,120.0,120.0,66646.0,33323.0,9606.752729200434,40116.0,26530.0,1,0,0,0,64,96,28.125834985726136,42.18875247858921,0.0,31.0,10.333333333333332,16.00833116432399,256.26666666666665,2,0,0,1,5,0,0,0,1.0,12.4,15.5,0.0,0,0,0,0,0,0,0,0,0,0,422,1273,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
